node1	label	node2
musical-notation	count	883
quantity	count	83002667
globe-coordinate	count	8106881
tabular-data	count	7706
url	count	6256075
wikibase-form	count	507
time	count	49589329
wikibase-item	count	483398951
monolingualtext	count	42987760
commonsMedia	count	4201430
wikibase-property	count	28847
string	count	274070594
geo-shape	count	22586
wikibase-sense	count	19
math	count	18879
wikibase-lexeme	count	1700
external-id	count	151255369
