id	node1	label	node2
Q35155-P8017-1	Q35155	P8017	L252247-F2
Q1701357-P8017-1	Q1701357	P8017	L252247-F2
Q5343628-P8017-1	Q5343628	P8017	L252247-F2
Q5445377-P8017-1	Q5445377	P8017	L252247-F2
Q5539564-P8017-1	Q5539564	P8017	L252247-F2
Q7816302-P8017-1	Q7816302	P8017	L252247-F2
Q8017994-P8017-1	Q8017994	P8017	L252247-F2
Q16107208-P8017-1	Q16107208	P8017	L252247-F2
Q61990359-P8017-1	Q61990359	P8017	L252247-F2
Q66732379-P8017-1	Q66732379	P8017	L252247-F2
Q66732481-P8017-1	Q66732481	P8017	L252247-F2
Q93501879-P8017-1	Q93501879	P8017	L252247-F2
Q2121910-P8017-1	Q2121910	P8017	L252247-F2
Q5497155-P8017-1	Q5497155	P8017	L252247-F2
Q8015931-P8017-1	Q8015931	P8017	L252247-F2
Q16194869-P8017-1	Q16194869	P8017	L252247-F2
Q66732392-P8017-1	Q66732392	P8017	L252247-F2
Q91441726-P8017-1	Q91441726	P8017	L252247-F2
Q205353-P8017-1	Q205353	P8017	L252247-F2
