id	node1	label	node2
Q901-P1963-1	Q901	P1963	P69
Q1071-P1687-1	Q1071	P1687	P2633
Q7365-P1963-1	Q7365	P1963	P2329
Q7365-P1963-2	Q7365	P1963	P3310
Q7365-P1963-3	Q7365	P1963	P3491
Q7365-P1963-4	Q7365	P1963	P3490
Q7365-P1687-1	Q7365	P1687	P3310
Q7365-P1687-2	Q7365	P1687	P6884
Q9174-P1687-1	Q9174	P1687	P140
Q12453-P1687-1	Q12453	P1687	P2575
Q23691-P1687-1	Q23691	P1687	P85
Q46523-P1687-1	Q46523	P1687	P7737
Q101401-P1963-1	Q101401	P1963	P8331
Q101401-P1963-2	Q101401	P1963	P2067
Q101401-P1963-3	Q101401	P1963	P2386
Q101401-P1963-4	Q101401	P1963	P276
Q101401-P1963-5	Q101401	P1963	P186
Q101401-P1963-6	Q101401	P1963	P571
Q101401-P1963-7	Q101401	P1963	P170
