id	node1	label	node2
Q45-P3896-1	Q45	P3896	"Data:Portugal.map"
Q183-P3896-1	Q183	P3896	"Data:Germany.map"
Q801-P3896-1	Q801	P3896	"Data:Israel.map"
Q869-P3896-1	Q869	P3896	"Data:Thailand.map"
Q1494-P3896-1	Q1494	P3896	"Data:Mississippi.map"
Q3769-P3896-1	Q3769	P3896	"Data:Guyane francaise.map"
Q15427-P3896-1	Q15427	P3896	"Data:India/Arunanchal Pradesh/Changlang.map"
Q18126-P3896-1	Q18126	P3896	"Data:Map of Potštejn, Rychnov nad Kněžnou District.map"
Q35715-P3896-1	Q35715	P3896	"Data:Australia/South Australia.map"
Q45833-P3896-1	Q45833	P3896	"Data:China/Qinghai.map"
Q137610-P3896-1	Q137610	P3896	"Data:Map of Kladruby, Rokycany District.map"
Q149120-P3896-1	Q149120	P3896	"Data:Map of Boňkov, Havlíčkův Brod District.map"
Q154144-P3896-1	Q154144	P3896	"Data:Portugal/CAOP2019/Freguesias/Canas de Santa Maria.map"
Q158423-P3896-1	Q158423	P3896	"Data:Map of Buštěhrad, Kladno District.map"
Q166050-P3896-1	Q166050	P3896	"Data:Map of Nový Telečkov, Třebíč District.map"
Q168648-P3896-1	Q168648	P3896	"Data:Hungary/Sopron.map"
Q178317-P3896-1	Q178317	P3896	"Data:Bonn-Oberkassel.map"
Q182901-P3896-1	Q182901	P3896	"Data:Map of Staré Hutě, Uherské Hradiště District.map"
Q183539-P3896-1	Q183539	P3896	"Data:Louth.map"
