id	node1	label	node2
Q45-P31-1	Q45	P31	Q3624078
Q45-P31-2	Q45	P31	Q6256
Q45-P31-3	Q45	P31	Q20181813
Q140-P31-1	Q140	P31	Q16521
Q183-P31-1	Q183	P31	Q3624078
Q183-P31-2	Q183	P31	Q43702
Q183-P31-3	Q183	P31	Q7270
Q183-P31-4	Q183	P31	Q619610
Q183-P31-5	Q183	P31	Q4209223
Q183-P31-6	Q183	P31	Q63791824
Q317-P31-1	Q317	P31	Q1307214
Q433-P31-1	Q433	P31	Q3504085
Q514-P31-1	Q514	P31	Q28598684
Q595-P31-1	Q595	P31	Q11424
Q647-P31-1	Q647	P31	Q484170
Q647-P31-2	Q647	P31	Q1549591
Q716-P31-1	Q716	P31	Q11344
Q801-P31-1	Q801	P31	Q3624078
Q801-P31-2	Q801	P31	Q51576574
