id	node1	label	node2
Q45-P856-1	Q45	P856	"https://www.portugal.gov.pt/en/gc21"
Q183-P1482-1	Q183	P1482	"https://travel.stackexchange.com/tags/germany"
Q183-P856-1	Q183	P856	"https://www.deutschland.de/en"
Q433-P856-1	Q433	P856	"http://www.kurow.lubelskie.pl/gmina.htm"
Q514-P1482-1	Q514	P1482	"https://biology.stackexchange.com/tags/anatomy"
Q647-P856-1	Q647	P856	"http://metropole.rennes.fr/"
Q801-P856-1	Q801	P856	"https://www.gov.il/"
Q801-P856-2	Q801	P856	"https://www.gov.il/en"
Q801-P856-3	Q801	P856	"https://www.gov.il/ru"
Q801-P856-4	Q801	P856	"https://www.gov.il/ar"
Q801-P856-5	Q801	P856	"https://www.gov.il/fr"
Q801-P856-6	Q801	P856	"https://www.gov.il/es"
Q801-P1325-1	Q801	P1325	"http://www.cbs.gov.il/"
Q801-P1325-2	Q801	P1325	"https://www.cia.gov/library/publications/the-world-factbook/geos/is.html"
Q801-P1325-3	Q801	P1325	"https://www.oecd.org/israel/"
Q869-P856-1	Q869	P856	"http://www.thaigov.go.th/"
Q901-P1709-1	Q901	P1709	"http://dbpedia.org/ontology/Scientist"
Q1071-P1482-1	Q1071	P1482	"https://stackoverflow.com/tags/geography"
Q1071-P1325-1	Q1071	P1325	"http://data.europa.eu/euodp/en/data/group/eurovoc_domain_100161"
