id	node1	label	node2
Q45-P625-1	Q45	P625	@38.7/-9.1833333333333
Q45-P1332-1	Q45	P1332	@42.15/-8.2
Q45-P1333-1	Q45	P1333	@36.96024856/-7.88698196
Q45-P1334-1	Q45	P1334	@41.57488702/-6.19021386
Q45-P1335-1	Q45	P1335	@38.78099411/-9.50053453
Q183-P1333-1	Q183	P1333	@47.2700279/10.17844677
Q183-P1334-1	Q183	P1334	@51.27279981/15.04178122
Q183-P1335-1	Q183	P1335	@51.05110016/5.86636662
Q183-P1332-1	Q183	P1332	@54.91120841/8.66919994
Q183-P625-1	Q183	P625	@51/10
Q183-P5140-1	Q183	P5140	@51.163333333333/10.447777777778
Q433-P625-1	Q433	P625	@51.383333333333/22.183333333333
Q647-P625-1	Q647	P625	@48.114166666667/-1.6808333333333
Q801-P1333-1	Q801	P1333	@29.490833333333/34.902777777778
Q801-P1334-1	Q801	P1334	@32.945277777778/35.896111111111
Q801-P1335-1	Q801	P1335	@31.219722222222/34.2675
Q801-P1332-1	Q801	P1332	@33.332777777778/35.768055555556
Q801-P625-1	Q801	P625	@31/35
Q869-P1332-1	Q869	P1332	@20.47/99.95
