id	node1	label	node2
Q317-P279-1	Q317	P279	Q173424
Q514-P279-1	Q514	P279	Q420
Q514-P279-2	Q514	P279	Q11190
Q716-P279-1	Q716	P279	Q19588
Q716-P279-2	Q716	P279	Q428766
Q901-P279-1	Q901	P279	Q1650915
Q901-P279-2	Q901	P279	Q20826540
Q1071-P279-1	Q1071	P279	Q34749
Q1071-P279-2	Q1071	P279	Q8008
Q2546-P279-1	Q2546	P279	Q422423
Q6010-P279-1	Q6010	P279	Q1322198
Q6010-P279-2	Q6010	P279	Q27939
Q6654-P279-1	Q6654	P279	Q9301
Q7270-P279-1	Q7270	P279	Q7174
Q7329-P279-1	Q7329	P279	Q146
Q7365-P279-1	Q7365	P279	Q28843519
Q7365-P279-2	Q7365	P279	Q66545292
Q7365-P279-3	Q7365	P279	Q4936952
Q7856-P279-1	Q7856	P279	Q5386
