id	node1	label	node2
Q45-P1036-1	Q45	P1036	"2--469"
Q45-P297-1	Q45	P297	"PT"
Q45-P298-1	Q45	P298	"PRT"
Q45-P299-1	Q45	P299	"620"
Q45-P402-1	Q45	P402	"295480"
Q45-P349-1	Q45	P349	"00569163"
Q45-P227-1	Q45	P227	"4046843-4"
Q45-P605-1	Q45	P605	"PT"
Q45-P998-1	Q45	P998	"Regional/Europe/Portugal/"
Q45-P984-1	Q45	P984	"POR"
Q45-P982-1	Q45	P982	"781b0c54-3d54-362d-a941-8a617def4992"
Q45-P646-1	Q45	P646	"/m/05r4w"
Q45-P901-1	Q45	P901	"PO"
Q45-P1566-1	Q45	P1566	"2264397"
Q45-P244-1	Q45	P244	"n80049716"
Q45-P268-1	Q45	P268	"119328454"
Q45-P268-2	Q45	P268	"11865344k"
Q45-P2163-1	Q45	P2163	"1208476"
Q45-P1417-1	Q45	P1417	"place/Portugal"
