node1	label	node2	id
Q1	P279star	Q1	Q1-P279star-Q1-0000
Q1000032	P279star	Q1000032	Q1000032-P279star-Q1000032-0000
Q1000032	P279star	Q1150070	Q1000032-P279star-Q1150070-0000
Q1000032	P279star	Q1190554	Q1000032-P279star-Q1190554-0000
Q1000032	P279star	Q133500	Q1000032-P279star-Q133500-0000
Q1000032	P279star	Q13878858	Q1000032-P279star-Q13878858-0000
Q1000032	P279star	Q14819853	Q1000032-P279star-Q14819853-0000
Q1000032	P279star	Q14912053	Q1000032-P279star-Q14912053-0000
Q1000032	P279star	Q16686448	Q1000032-P279star-Q16686448-0000
Q1000032	P279star	Q16722960	Q1000032-P279star-Q16722960-0000
Q1000032	P279star	Q16887380	Q1000032-P279star-Q16887380-0000
Q1000032	P279star	Q1799072	Q1000032-P279star-Q1799072-0000
Q1000032	P279star	Q1813494	Q1000032-P279star-Q1813494-0000
Q1000032	P279star	Q1914636	Q1000032-P279star-Q1914636-0000
Q1000032	P279star	Q19862406	Q1000032-P279star-Q19862406-0000
Q1000032	P279star	Q20937557	Q1000032-P279star-Q20937557-0000
Q1000032	P279star	Q2200417	Q1000032-P279star-Q2200417-0000
Q1000032	P279star	Q22299433	Q1000032-P279star-Q22299433-0000
Q1000032	P279star	Q22299483	Q1000032-P279star-Q22299483-0000
