id	node1	label	node2
Q45-type	Q45	type	item
Q140-type	Q140	type	item
Q183-type	Q183	type	item
Q317-type	Q317	type	item
Q433-type	Q433	type	item
Q514-type	Q514	type	item
Q595-type	Q595	type	item
Q647-type	Q647	type	item
Q716-type	Q716	type	item
Q801-type	Q801	type	item
Q869-type	Q869	type	item
Q901-type	Q901	type	item
Q951-type	Q951	type	item
Q982-type	Q982	type	item
Q1071-type	Q1071	type	item
Q1172-type	Q1172	type	item
Q1253-type	Q1253	type	item
Q1297-type	Q1297	type	item
Q1404-type	Q1404	type	item
