id	node1	label	node2
Q45-P242-1	Q45	P242	"EU-Portugal.svg"
Q45-P242-2	Q45	P242	"LocationPortugal.svg"
Q45-P242-3	Q45	P242	"Portugal on the globe (Europe centered).svg"
Q45-P41-1	Q45	P41	"Flag of Portugal.svg"
Q45-P41-2	Q45	P41	"Flag of Portugal (1830).svg"
Q45-P41-3	Q45	P41	"Flag of the United Kingdom of Portugal, Brazil, and Algarves.svg"
Q45-P41-4	Q45	P41	"Flag of Portugal (1750).svg"
Q45-P41-5	Q45	P41	"Flag of Portugal (1707).svg"
Q45-P41-6	Q45	P41	"Flag of Portugal (1667).svg"
Q45-P41-7	Q45	P41	"Flag of Portugal (1640).svg"
Q45-P41-8	Q45	P41	"Flag of Portugal (1578).svg"
Q45-P41-9	Q45	P41	"Flag of Portugal (1521).svg"
Q45-P41-10	Q45	P41	"Flag of Portugal (1495).svg"
Q45-P41-11	Q45	P41	"PortugueseFlag1485.svg"
Q45-P41-12	Q45	P41	"PortugueseFlag1385.svg"
Q45-P41-13	Q45	P41	"PortugueseFlag1248.svg"
Q45-P41-14	Q45	P41	"PortugueseFlag1185.svg"
Q45-P41-15	Q45	P41	"PortugueseFlag1143.svg"
Q45-P41-16	Q45	P41	"PortugueseFlag1095.svg"
